username,date,review_text,rating,source
hanimeowi,,"it’s pretty funny but sometimes a pause was needed because i couldn’t take it 😭 but i really like how soft benjie’s family is 🥹 not every filipino household accepts a different sexuality so it’s really heartwarming to see benjie’s family accept benjie for who he really is 💗 i also liked how benjie found people that will stay with him no matter what happens, their friend group is so funny 😆 i don’t know if i’ll watch it again but it’s an okay movie OKAY?! nyahhaha Happy Pride Month ! 🏳️‍🌈",120.0,ltbx
violetanhedonia,,mulan’s kinda looking different here,180.0,ltbx
geo00,,kalalaki mong tao laki ng dede mo!,40.0,ltbx
jianu_ui,,classic,120.0,ltbx
kirsampu,,HALAAAA 🫢,160.0,ltbx
migihhhh,,cinema,160.0,ltbx
saintkahel,,PEAK,200.0,ltbx
owelboy18,,the Filipino Mulan live action that I could only accept hahahaha nahiya si Deadpool sa jokes per minute sa movie na to HAHAHAHA,200.0,ltbx
ash_yy,,d ka tunay na cinephile pag wala praybeyt benjamin sa letterboxd mo 😝😝,200.0,ltbx
choichieve,,queer,100.0,ltbx
bngis,,Truly peak filipino cinema.🧟🧟,160.0,ltbx
wyntermelon,,i have a distinct memory of watching a cam release of this on a DVD my parents bought since the movie was still showing in theaters.,140.0,ltbx
briwomp,,"SO FUNNY I LOVE THIS MOVIE 100%🎥 : watched w my dog, moon 🌙 (pangit ka-bonding, natulog lang e habang nagpapa-belly rub)",200.0,ltbx
indesimishka2,,"BASTA ANG ANG GANDA NITO! tas yung mga gawa ng tatay nya na ewan ano tawag don, parang gusto ko din ng ganun",200.0,ltbx
erikaindahawz,,joke after jokes after jokes i miss you direk wenn,160.0,ltbx
rxfff,,plant vs zombie,200.0,ltbx
clipsofmarks,,my humor came from this movie,160.0,ltbx
maiskonyelo,,when someone tells me to play a classic film and i pull up with this masterpiece,160.0,ltbx
jellojiji,,At niligtas ng mga bading ang bansa,100.0,ltbx
thenaaaa,,"those who get it, get it. those who dont, dont. this is definitely those films you watch for fun without taking anything seriously.",100.0,ltbx
ashongratings,,if i only have 1hr and 45mins remaining to live e2 papanoorin k,200.0,ltbx
lvlykaoxy,,gets ko si benjamin,160.0,ltbx
