username,rating,review_text,date,likes,comments,viewing_type,user_liked
ginalinettis,4,"I have a lot of problems with this movie ok here goes: 1) what I will never understand is WHY george is angry and blames primo for not being able to read her mind and assume that, because primo ""knows"" her, he should've known that she didn't really mean she wanted him to leave when she EXPLICITLY tells him to leave. 2) it didn't really make for a compelling argument when she tells him that she only spoke up once…",2018-09-24T08:11:57.832Z,3,0,watch,False
thegoldenrock,6,"Seen at: Grand Ocean Cinema, Hong KongListening to the audience cheer and swoon was almost worth the price of admission.",2018-09-25,0,0,watch,False
shrimprawnyyy,1,This movie saved my life.,2018-09-27,0,0,watch,False
dioyasu,3,"Imagine a film where a man horribly tries to redeem himself for a girl he directly but unknowingly tormented for several years of her life and believes making up for it years later and caring about her for years is good enough to be forgiven/taken back.""Manipulative and abusive behavior in the past shouldn't follow how good of a man he is today!""Me: www.youtube.com/watch?v=jSdimIa6Y_c",2018-09-27,69,0,watch,False
trcywnrs,6,Primo: Will your life be better without me?George: *nods*A close 3 star.1 I expected a whole lot more but thank god Kathryn Bernardo saved the film. 2 why did Darren Espanto not sing on that open jam when he had the chance!!! Char3 can Jason Ty and Mikko hang out or something4 George deserved better5 KIT THOMPSON MAHAL NA YATA KITA,2018-09-30,0,0,watch,False
emma_geddon,3,It felt like Star Cinema shot the Amsterdam scenes just so the movie could have could a One Perfect Shot moment. They were that irrelevant.,2018-10-03,10,0,watch,False
marcosario,4,Big names but the film's not that big.Predictable. No jaw-dropping twist.Can be cut into a one-hour film. There are also scenes that can be removed which won't really affect the plot. Some of the supporting characters are not convincing.Was really hyped by the fans.,2018-10-08T12:24:01.807Z,0,0,watch,False
ceciliatallis,7,"I have always been checking for Daniel Padilla because I do think he has an impressive talent and very natural acting and charisma. I liked Kathryn in her previous shows and movies when she was younger but while she grew up, some of her acting appeared to be too mannered for me. In this movie however, Director Cathy Garcia-Molina flipped the script and made Kathryn shine more out of the duo. Don't get me wrong, Daniel is still a great screen presence but he was encumbered by what is, in my opinion, a deeply unlikable character while Kathryn got to play a long suffering and determined young lady and really got her chance to shine here. There are lots of parts of this movie that lost my rapt - the out of place Amsterdam part and newcomer Darren Espanto's stilted acting, to name a few. But Kathryn and Daniel's special brand of chemistry still drives this movie home.",2018-10-17T18:47:49.160Z,0,0,watch,False
sunlize,8,wtf luha ko tbh.. also ya hanggang kailan really slaps i cant stop singing it after :c kathniel pa rin mga ulol,2018-09-08,0,0,watch,False
sweezerfoot,10,"Duhhh.. gue speechless.. film yang sempurna menuturkan tema pasang surut sebuah hubungan asmara jangka panjang yang dibina selama 7 tahun. Tentang bagaimana kedua insan berusaha saling memahami, menjaga hati dan ketika keduanya dihadapkan pada satu konflik yang memuncak, mereka saling mengharapkan dan berekspektasi lebih terhadap reaksi pasangannya. Georgina (Bernardo) ingin pasangannya, Primo (Padilla) lebih terlihat berjuang, padahal mereka punya 'pertempuran' dan cara berjuang yang berbeda dari sejak pertama mereka bertemu.Relate banget filmnya.. di saat pasangan harus saling mendukung, dari yang awalnya percaya dengan passion Primo, dan menerima segala kekurangannya dan bersabar. Georgina, merasa lelah sekian lama bekerja sambil kuliah, membayar tagihan, mengurusi rumah warisan neneknya, sementara Primo sibuk mengejar passionnya, yang awalnya membuat Georgina jatuh cinta.Hubungan keduanya sirna, saat Georgina merasa lelah dengan perjuangannya, mengeluh dan marah untuk pertama kalinya dan mengusir Primo. Ia berharap Primo bertahan mendengarkan keluhannya, bersabar menghadapi amarahnya dan lebih berjuang membantu lelahnya. Tetapi Primo malah pergi, membawa kekecewaan, rasa tidak dipercaya dan kegagalan. Keduanya berpisah dan baru bertemu kembali setelah 2 tahun.Primo kembali lagi, berusaha memperbaiki, tapi Georgina menganggapnya sudah terlambat. Semua sudah berakhir, tanpa mereka ketahui rahasia dan 'pertempuran hati' yang Primo pendam 2 tahun yang lalu.Filmnya punya chemistry yang bagus dan mengupas permasalahan dalam hubungan yang dalam dan logis. Rasanya semua orang bisa mengalami konflik dalam film ini. Kedekatan personal dan emosional jadi kunci di film yang punya teknis yang sederhana tapi dengan kekuatan skripnya menjelma jadi film yang kuat menggali emosi lewat dialog2 bagus dan dalam.My fave romance of all time.",2018-11-16,4,0,watch,True
arulfittron,8,"‪Has a very simple premise, but #TheHowsofUs become a very enjoyable romantic comedy. Some of subplot maybe not really works and has a few cliche moments. But, Cathy Garcia-Molina's direction had her sensitivity to make this one become a very cute yet emotional film especially for the ending. The chemistry between Kathryn and Daniel was irrestisible. If you can't help for this kind of film, well bring the tissues then.",2018-11-18,0,0,watch,False
enugroho,9,"Film yang begitu lekat dan hangat. Kadang suka sebel, marah dan senyum-senyum sendiri ketika nonton film ini. Momen-momen ketika kalian pacaran tentunya dengan banyak sekali cobaan yang ada. Dan jangan lupa siapkan tisu kalau mau menonton film ini.",2018-11-18,0,0,watch,False
mbanu24,9,"Meski ceritanya sederhana, The Hows of Us tetap membuat saya terkesima dengan kisah antara kedua tokoh utamanya. Chemistry, dialog yang manis, komedi, kisah romantis, serta adegan emosional terasa begitu menarik hati. Wajar saja kalau film ini merupakan film Filipina terlaris sepanjang masa.Cinepolis Kalibata City",2018-11-18,0,0,watch,False
panji_respati,6,Begin with great but ended badly.Actually the ending is great but the way to the ending is not quite good,2018-11-19,2,0,watch,False
ahmadbaihaqi21,8,"Wajar jika The Hows Of Us adalah film Filipina terlaris sepanjang masa. Ia mempercakapkan perjalanan cinta dengan manis juga begitu mengharukan, walau memang—seperti Rasyid Harry katakan—terlampau lama. Salah satu drama romantis terbaik 2018.",2018-11-22,4,0,watch,False
artsyygeek,6,"Forget about the Filipino-romance formula plots, but the execution made me forget how appealing this can be. The lines said can be repeated by other Filipino drama-rom coms (or context are pretty much the same), but I just remembered that the screenwriters are the same people who wrote One More Chance which made me realize why this film gave much emotion. The story is plain simple and it was going okay as it goes along, but I think the father/Amsterdam thing was unnecessary, however, I'm not hating the not-tulips-but-other-flowers-on-the-field scene when they both finally realized they've become better people with their separation.It was also nice to see the evolution of this love team's acting; they just get better and better as time goes by, giving more opportunities for them to go with mature roles — including this one. I wouldn't hate it if they didn't end up together and had a good friendship instead, but of course...",2018-12-21,0,0,watch,False
harryindunkirk,8,(whispers) luv u kathniel,2018-12-25,0,0,watch,False
bettyhesti25,10,😍,2018-12-30,0,0,rewatch,True
chetchet,10,KATHNIEL I LOVE YOU SO MUCH,2018-08-29,2,0,watch,True
paulynomial,,"........umuwi ka na, baby",2019-01-29,4,0,watch,False
jiralatagan,5,The best part was the last part of the movie. About George reading the letter from Primo.,2019-03-02T02:56:47.054Z,0,0,watch,True
donjaucian,4,"Ok yung structure ng ibang parts, parang remix ng rom-com pero ang cop out ng letter reveal na parang “bitch u thought!!”",2019-03-06,1,0,watch,False
cameeroo,4,These two stars are for Kathryn's acting only,2019-03-10,37,0,watch,False
miguelouie,7,"Ang ganda nung first act. Hindi ko inexpect na talagang kakasimula lang nung pelikula e ngangalngal na ako. Pero there are some parts na parang ‘di nag-work out like, for me, medyo unnecessary na yung Amsterdam na part. Tsaka medyo disappointing na nagkatuluyan pa rin sila sa ending. Ang layo na nang narating ni George, pati na rin si Primo, parang kaya na nila ‘to nang mag-isa. Alam na nila ‘to. Pero syempre ngumalngal pa rin ako sa ending. Tho sana nga ‘di sila nagkatuluyan kasi parang mas okay and mas pak yung ngalngal. Anyway, ang main takeaway ko rito ay ang sarap mangarap lalo na kapag may kasama kang tuparin yung mga pangarap na ‘yun. Pak!",2019-03-17,0,0,watch,False
danieldayao,7,3.4,2019-03-19T06:08:05.695Z,0,0,watch,True
jj01,6,"uy maganda si kat dito, 3 stars for kat's acting performance only, generic filipino romantic film",2019-03-20,0,0,watch,False
mcuintern,10,STILL CRYING,2019-03-21,0,0,watch,True
gabbbouchebl,6,"It still had the classic rom-com formula evidently building the foundation of the film which was a bit disappointing. Slightly impressed with the development Kathryn and Daniel's acting but there are obvious parts of the film where it shows that it's still lacking character and depth. Sobbed for a bit, but the cringe for all the restrictions there still is in terms of storytelling and what they can project onscreen overpowered the sadness.",2019-03-28,0,0,watch,False
keiryaknightley,6,"relatively good tho not as good as i expected?? blame it to expectations tho!! would definitely like it more if my dad wasn't present and like if he understood human emotions and that people don't see everything in hindsight to create the perfect decisions.anyway, i really liked kathryn here and it's different from their previous movies so that's fun. not a fan of the very obvious limited point of view tho, bc idk (this is probably just my perspective but) it kind of invalidates / mocks george's pain by saying primo Had It Worse? probably just me tho!!it's nothing new in cinema (regarding romance and other shenanigans) but it's endearing so it's okay !!!",2019-03-31T07:51:23.256Z,0,0,watch,False
vnsrfn,7,wow i felt this,2019-03-31,0,0,watch,False
godscharot,6,"2nd viewing, ang unnecessary talaga ng amsterdam on the third act",2019-04-15,2,0,rewatch,True
kimiekaze,6,⭐️ for first half⭐️ for Daniel Padilla singing scenes⭐️ for “hindi naman ako nayayakap ng diploma ko sa gabi”,2019-04-19,11,0,watch,False
nicolealcalde,4,2 stars for kathryn bernardo's acting prowess only,2019-04-18,0,0,watch,False
chzzzie,8,"Definitely the best KathNiel movie to date. It's well written, well acted and gives you a roller coaster ride feeling. Little bit disappointed because the trailer was really slight misleading. The only problem for me, was the phasing of the movie. At first, it gave us some very dramatic and heart wrenching moments but at the 2nd and 3rd act it just gave us some typical Filipino Rom-Com moments but the ending is definitely the best part of the movie. Still a great movie though.",2019-04-20,0,0,rewatch,True
iamtylerdurden,6,"The movie has its moments, good ones, but these moments are already included in a repetitive formula for Romantic Comedies, something you've already seen before. Star Cinema only seldom takes risks on bringing their stories as close to reality as possible, and this movie is not one of them.Daniel Padilla gets the upper hand here. Kathryn Bernardo's acting is awkward.Also, is there no other resolution to the whole story but the unread letter during their break-up? No amount of effort and persuasion, and that's all it takes?",2019-04-21,0,0,watch,False
priestlysblunt,4,two stars is for miss susan africa,2019-04-21,3,0,watch,False
nxgvnn,2,DI NA NATIGIL YUNG ULAN BAKITᵃⁿᵍ ᵖᵃᵖᵃⁿᵍᶦᵗ ⁿᵘⁿᵍ ᶜᵘᵗˢ ʰᵉʰᵉʰᵉ,2019-04-22,0,0,watch,False
alaalarawan,3,"George, sweetie...",2019-05-01,0,0,watch,False
iamphilsm,6,"The Hows Of Us reminded me so much of Never Not Love You and at some point, of Kita Kita. This is Kathryn Bernardo and Daniel Padilla's most mature film to date. This film could be more realistic if the usual Star Cinema tropes were excluded. I really like the first arc but Star Cinema formula suddenly appeared on the second and third arc. Nevertheless, this is still a good film. I could've appreciate this more if James Reid and Nadine Lustre's Never Not Love You didn't happen.We always learn from our failures and grow as a much better person because of them. And it would be nicer to grow in life with someone.",2019-05-04,0,0,watch,False
riza,5,rupok ni george,2019-05-22,0,0,watch,False
chachubchi,10,"I loved KathNiel from the very beginning of their loveteam. After almost a decade as a loveteam, and now officially together in real-life, I loved them even more. This movie was just so good, it felt like they weren't even acting anymore. You can feel the love between them, and the pain when they're playing heartbroken during a scene. I cried at the end, it was the best part. #thefeels",2019-05-27,0,0,watch,True
