review_id,sentence_num,username,date,rating,source,sentence
77,1,andreeee23,2025-09-16 00:00:00.000,80.0,ltbx,WELCOME HOME PAPSIII
78,1,lyzxuee,2025-09-14 00:00:00.000,100.0,ltbx,Filo camp in its earliest form
79,1,strawbzmatch,2025-09-14 00:00:00.000,100.0,ltbx,literally mulan for gay ppl
81,1,rhaetopia,2025-09-10 18:46:24.766,100.0,ltbx,so camp
82,1,izakbunda,2025-09-09 00:00:00.000,100.0,ltbx,Funniest Filipino movie ever
83,1,daphrice,2025-09-07 00:00:00.000,100.0,ltbx,ampogi mo tlaga derek ramsey HAYOP had me giggling whenever he came on screen GAGI corny man pero this is so peak srry
84,1,kascai,2025-09-06 00:00:00.000,,ltbx,knskdksbfjensh an amazing feat of managing to be pro-military and pro-lgbtq at the same timegay people will save the world
85,1,liliandfilms,2025-09-06 00:00:00.000,100.0,ltbx,some jokes still funny but watching it after a decade some jokes just ain't it
86,1,luckypenguingam,2025-09-05 05:20:34.876,60.0,ltbx,a legend (boom panes) was born
87,1,claudiary,2025-09-03 00:00:00.000,100.0,ltbx,yung credits  callalily - bullies hahhhahahahha plsss
88,1,nooktown,2025-09-03 00:00:00.000,100.0,ltbx,kasing labo ng poster ung quality ng jokes
89,1,sofieyah,2025-09-02 00:00:00.000,100.0,ltbx,if mulan was gay
90,1,jezzinator,2025-09-01 00:00:00.000,100.0,ltbx,Certified hood classic
91,1,lo0rem,2025-08-28 00:00:00.000,,ltbx,me sa afp: WELCOME HOME PAPSIEEEEE
92,1,sebastiandpy,2025-08-29 00:00:00.000,100.0,ltbx,"benjamin santos is ahead of her time, vv timely and relevant, bring back comedy movies with 2x speed scenes and corny ass linesmy dad and i used to watch this before bwhahaha good old days"
93,1,siernsonto,2025-08-26 00:00:00.000,100.0,ltbx,good watch
94,1,persephone21,2025-08-25 00:00:00.000,100.0,ltbx,‘yung tawa ko
95,1,tontwo,2025-08-24 00:00:00.000,100.0,ltbx,I love vice ganda
96,1,tideofrage,2025-08-24 00:00:00.000,100.0,ltbx,mulan if she served kanto (cunt)
97,1,myluvrs_,2025-08-22 00:00:00.000,100.0,ltbx,so funnyy
98,1,thirdied,2025-08-20 00:00:00.000,100.0,ltbx,best vg film fr
99,1,jnsenjae,2025-02-09 00:00:00.000,100.0,ltbx,phenomenal box office superstar
100,1,weicu,2025-08-17 00:00:00.000,100.0,ltbx,pag bakla salot agad
100,2,weicu,2025-08-17 00:00:00.000,100.0,ltbx,hindi ba pedeng malas munasana mamura din ako ni kean cipriano
101,1,filmandher,2025-08-16 00:00:00.000,100.0,ltbx,still so funny
102,1,bagnetnicarson_,2025-08-10 00:00:00.000,100.0,ltbx,the OG mulan live action
103,1,evvyonn,2025-07-27 00:00:00.000,100.0,ltbx,classic comedy film in the ph
103,2,evvyonn,2025-07-27 00:00:00.000,100.0,ltbx,"tho, as far as my memory, its not as iconic as the 2nd movie but still enjoyed it"
103,3,evvyonn,2025-07-27 00:00:00.000,100.0,ltbx,"also, i love the representation of lgbtqia because when most people sides up waiting to see you fail just because of your sexuality is absurd, but proving them all wrong is immaculate"
104,1,nuemz,2025-08-05 00:00:00.000,100.0,ltbx,mulan of the ph
105,1,anne_eli,2025-08-04 00:00:00.000,100.0,ltbx,"when i was a kid, i thought this was funny"
105,2,anne_eli,2025-08-04 00:00:00.000,100.0,ltbx,"now that im older, i STILL think this is vice’s best film"
105,3,anne_eli,2025-08-04 00:00:00.000,100.0,ltbx,idc about political-correctness when its praybeyt benjamin on the line
106,1,romanwars,2025-08-02 00:00:00.000,80.0,ltbx,one day i’ll tell my kids this is live action mulan
107,1,monere,2025-07-28 00:00:00.000,100.0,ltbx,Mabuhay ang queer cinema (1)
108,1,lumengxd,2025-07-31 00:00:00.000,100.0,ltbx,The scene where he have to shoot the standee of Brad Pitt and Tom Cruise got me
108,2,lumengxd,2025-07-31 00:00:00.000,100.0,ltbx,"Same Benji, same"
109,1,ehshsjaja,2025-07-28 00:00:00.000,100.0,ltbx,My OG
110,1,jusiopao,2012-10-05 00:00:00.000,100.0,ltbx,The film that boosted Vice Ganda's career to stardom
111,1,lagascakurt,2025-07-26 00:00:00.000,100.0,ltbx,queer camp excellence
111,2,lagascakurt,2025-07-26 00:00:00.000,100.0,ltbx,MABUHAY ANG MGA BAKLA
112,1,nat4sale,2025-07-26 00:00:00.000,100.0,ltbx,this is how you adapt MULAN correctly btw
113,1,rietenly,2025-07-25 00:00:00.000,100.0,ltbx,gays can do more and BETTER than straight guys na puro pasarap lang ang alam gawin
115,1,basedoz,2025-07-25 00:00:00.000,100.0,ltbx,Peak Vice Ganda
117,1,hotgago,2025-07-20 00:00:00.000,100.0,ltbx,the movie itself is ok lang tbh
117,2,hotgago,2025-07-20 00:00:00.000,100.0,ltbx,"However, like it or not, the cultural significance of praybeyt benjamin as one of the first and most successful vice ganda blockbusters warrants at least respect"
118,1,nluvart,2025-07-19 00:00:00.000,,ltbx,cutie lagi si kian cipriano diri
119,1,daliddor,2025-07-20 00:00:00.000,100.0,ltbx,Vice Ganda is so so so funny
120,1,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,"""long live the gays""been wanting to watch this for so long"
120,2,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,there's so much about this movie
120,3,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,the dad's science hats
120,6,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,i was gonna list more but i literally can't think of anything except the one scene where the dad was wearing a gir hat
